,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
292,Ladislav Krejčí,CZE,DF,Girona,25.0,23,16,19,4,0,14,26,53.8,12,24,19,5,34,57,93,5,0.85,0.59,0.7,0.15,0.0,0.52,0.96,0.44,0.89,0.7,0.18,1.25,2.1,3.43,0.18
293,Takefusa Kubo,JPN,"MF,FW",Real Sociedad,23.0,31,20,11,11,9,16,40,40.0,24,38,1,37,17,48,13,1,1.17,0.76,0.42,0.42,0.34,0.61,1.52,0.91,1.44,0.04,1.4,0.64,1.82,0.49,0.04
294,Marash Kumbulla,ALB,DF,Espanyol,24.0,51,26,35,14,2,24,41,58.5,17,48,35,13,34,85,224,2,1.55,0.79,1.06,0.42,0.06,0.73,1.24,0.52,1.45,1.06,0.39,1.03,2.58,6.79,0.06
295,Luca de la Torre,USA,MF,Celta Vigo,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Yoel Lago,ESP,DF,Celta Vigo,20.0,12,8,8,3,1,7,9,77.8,2,5,4,1,4,16,30,0,1.85,1.23,1.23,0.46,0.15,1.08,1.38,0.31,0.77,0.62,0.15,0.62,2.46,4.62,0.0
297,Cyle Larin,CAN,FW,Mallorca,29.0,12,6,1,6,5,3,9,33.3,6,12,3,9,1,13,16,0,0.61,0.31,0.05,0.31,0.26,0.15,0.46,0.31,0.61,0.15,0.46,0.05,0.66,0.82,0.0
298,Juanmi Latasa,ESP,FW,Valladolid,23.0,4,2,1,1,2,2,6,33.3,4,4,1,3,0,4,11,1,0.26,0.13,0.06,0.06,0.13,0.13,0.39,0.26,0.26,0.06,0.19,0.0,0.26,0.71,0.06
299,Toni Lato,ESP,DF,Mallorca,26.0,17,11,6,5,6,7,11,63.6,4,10,4,6,6,23,33,0,2.46,1.59,0.87,0.72,0.87,1.01,1.59,0.58,1.45,0.58,0.87,0.87,3.33,4.78,0.0
300,Robin Le Normand,ESP,DF,Atlético Madrid,27.0,27,18,23,4,0,12,20,60.0,8,20,9,11,10,37,120,1,1.13,0.75,0.96,0.17,0.0,0.5,0.84,0.33,0.84,0.38,0.46,0.42,1.55,5.02,0.04
301,Florian Lejeune,FRA,DF,Rayo Vallecano,33.0,46,28,30,14,2,23,43,53.5,20,38,32,6,41,87,181,1,1.25,0.76,0.81,0.38,0.05,0.62,1.17,0.54,1.03,0.87,0.16,1.11,2.36,4.91,0.03
