Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,78,2.67,11.3,29.3,38.7,7.33,78,3.33,0.67,20,1.33,40,36.7,197.3,114,4,1.33,2,3.33,3.33,39.3,13.3,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,30.4,0.68,4.53,12.1,14.4,4.53,30.4,2.14,0.51,24,1.37,64,17.7,112.1,50.3,2.39,1.03,1.03,2.31,1.03,19.3,6.5,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,61.8,8.39,33.5,26.9,1.99,0.59,61.8,0.48,0.32,66.7,0,0,38.7,191.3,100.8,0.27,0.27,0.05,0.27,0.32,43.4,0.22,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,53.5,0.21,3.87,26.3,24,3.45,53.2,1.39,0.77,55.6,0.41,29.6,37.3,179.4,81.1,2.58,2.01,0.77,1.8,1.03,45.2,7.37,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,53.3,0.71,4.42,20.4,29,3.08,53.3,4.1,1.86,45.3,1.6,39.1,34.2,241.2,119.2,4.62,2.37,1.86,2.88,1.09,38.9,8.97,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,43.1,0.93,4.53,17.5,21.7,4.53,43.1,1.47,0.67,45.5,0.67,45.5,23.1,102.3,44.5,1.6,0.93,0.53,3.07,0.93,28.8,6.4,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,52.4,4.02,19.7,24.8,9.18,1.24,52.4,4.23,1.96,46.3,1.55,36.6,22.6,139.1,82.9,1.65,0.62,0.31,2.89,1.24,23.5,2.68,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,78.2,4.23,23.9,40.5,14.1,1.13,78.2,0.21,0.1,50,0.1,50,44.5,197.3,135.9,1.34,1.86,0.1,0.82,0.1,53.2,2.06,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,40,2,10,20,10,2,40,4,2,50,2,50,18,138,48,2,0,2,2,2,28,4,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,71.6,9.53,43.6,26.8,1.81,0.67,71.6,0.74,0.57,77.3,0.07,9.1,39.4,191.6,95.7,0.37,0.34,0.03,0.57,0.27,49.1,0.2,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,54.5,0.8,7.26,22,26.5,3.09,54.4,1.94,0.73,37.5,0.94,48.2,31.1,190.7,111.1,3.16,3.23,0.52,1.46,1.11,36.3,5.35,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,54.5,8.85,33.4,20.2,1.04,0.83,54.5,0.42,0.31,75,0.1,25,27.6,113.6,47.8,0,0.1,0,0.31,0.52,32.9,0.1,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,57.1,8.26,28.4,27,1.88,0.72,57.1,0.43,0.43,100,0,0,29,151.9,75.2,0.14,0.58,0,0.87,0.14,36.4,0,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,52.8,3.06,13.7,31.4,8.33,0.56,52.8,2.22,1.02,45.8,0.83,37.5,22,108.8,49.8,0.74,0.83,0,1.94,0.56,27.1,0.83,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,28.6,0.76,2.03,12.3,14.6,4.18,28.6,0.89,0.13,14.3,0.63,71.4,14.3,63.9,34.7,1.14,0.51,0.89,3.54,1.39,19.9,5.44,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,67.8,1.5,12.2,33.2,23.5,1.85,67.8,4.33,1.81,41.8,1.73,40,42.3,261.4,136.3,4.21,2.68,0.63,1.73,1.06,49,9.69,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,57.3,3.16,19.7,25.6,12.5,0.75,57.3,0.45,0.23,50,0.08,16.7,24.5,76.2,33.2,0.6,0.45,0.15,0.9,0.15,28.5,1.58,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,52,0.78,8.22,26.1,18.9,2.33,52,4.22,1.67,39.5,2.11,50,34.1,209.4,104,3.44,1.67,0.89,2.22,1.44,39,7.89,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,36,2,4,16,16,6,36,4,0,0,2,50,20,42,8,0,0,0,2,2,22,0,Matches
