Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
439,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,25.5,1526,90,533,634,373,21,1526,37,17,45.9,18,48.6,617,3350,1832,41,49,6,37,15,826,96,Matches
440,Pejiño,es ESP,FW,Las Palmas,28,1996,0.2,9,0,2,3,4,0,9,0,0,,0,,9,57,17,1,0,0,1,0,7,2,Matches
441,Andy Pelmard,fr FRA,DF,Las Palmas,24,2000,2.3,152,11,50,77,25,0,152,2,1,50,0,0,71,418,159,1,1,0,3,0,90,5,Matches
442,Iñaki Peña,es ESP,GK,Barcelona,25,1999,15.5,667,472,651,16,0,0,667,0,0,,0,,399,1757,991,0,0,0,0,0,362,0,Matches
443,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,8.6,418,13,64,165,192,18,418,27,10,37,14,51.9,219,1069,536,18,11,4,25,12,256,57,Matches
444,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,16.7,842,20,112,266,477,89,842,64,27,42.2,29,45.3,518,3665,1976,76,40,30,52,20,622,159,Matches
445,Peque,es ESP,"MF,FW",Sevilla,21,2002,12.6,485,3,51,253,186,35,485,26,11,42.3,12,46.2,266,1161,556,14,12,1,23,26,346,44,Matches
446,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,21.9,705,7,66,296,355,136,705,78,34,43.6,36,46.2,429,2599,1453,59,31,33,62,34,514,124,Matches
447,Carles Pérez,es ESP,"MF,FW",Getafe,26,1998,15.9,551,16,74,198,291,44,551,50,21,42,27,54,298,2194,952,31,33,9,37,20,327,77,Matches
448,Francisco Perez,es ESP,"FW,MF",Valencia,21,2002,6.3,327,5,50,126,154,16,327,22,8,36.4,14,63.6,198,1440,658,24,11,4,17,14,230,71,Matches
449,Kike Pérez,es ESP,MF,Valladolid,27,1997,13.2,723,19,166,412,159,18,723,22,8,36.4,12,54.5,344,2211,1125,19,18,4,25,13,441,28,Matches
450,Luis Pérez,es ESP,DF,Valladolid,29,1995,28.4,1444,88,490,630,336,9,1444,21,12,57.1,7,33.3,585,2748,1388,41,23,3,28,5,792,117,Matches
451,Romain Perraud,fr FRA,DF,Betis,26,1997,22.2,1419,62,442,565,423,28,1419,35,11,31.4,18,51.4,766,3846,1881,51,25,10,33,14,842,106,Matches
452,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,0.1,6,1,5,0,1,0,6,0,0,,0,,2,4,2,0,0,0,0,0,1,0,Matches
453,Pica,es ESP,DF,Alavés,22,2002,5.5,263,33,135,120,8,5,263,1,1,100,0,0,124,728,496,3,2,0,2,1,133,0,Matches
454,Yeremi Pino,es ESP,"MF,FW",Villarreal,21,2002,21.5,986,30,169,356,477,104,986,58,25,43.1,25,43.1,565,2781,1416,42,26,21,52,23,668,213,Matches
455,Portu,es ESP,"FW,MF",Girona,32,1992,8.7,301,4,33,110,160,25,301,10,4,40,5,50,168,846,518,20,15,4,11,3,214,79,Matches
456,Beñat Prados,es ESP,MF,Athletic Club,23,2001,19.1,991,33,190,628,184,24,991,30,15,50,12,40,480,2312,1081,20,19,1,25,20,604,32,Matches
457,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,5.1,146,6,15,76,55,25,145,3,1,33.3,2,66.7,77,215,41,0,0,0,17,12,104,14,Matches
458,Javi Puado,es ESP,"FW,MF",Espanyol,26,1998,33,985,27,140,452,413,102,980,61,21,34.4,35,57.4,623,4528,1960,73,48,22,71,33,703,113,Matches
459,Dani Raba,es ESP,"FW,MF",Leganés,28,1995,20.9,930,23,111,445,398,43,925,91,46,50.5,38,41.8,523,2894,1474,42,42,10,53,40,572,101,Matches
460,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,43,39,43,0,0,0,43,0,0,,0,,22,97,61,0,0,0,0,0,27,0,Matches
461,Antonio Raillo,es ESP,DF,Mallorca,32,1991,35.6,2185,376,1140,909,142,66,2185,3,2,66.7,1,33.3,1108,6230,3707,31,16,0,7,6,1282,20,Matches
462,Benito Ramírez,es ESP,"DF,FW",Las Palmas,29,1995,5.3,406,16,87,169,155,9,406,15,3,20,9,60,211,1179,580,14,20,1,10,6,251,62,Matches
463,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,29,1995,22.6,930,26,146,383,417,64,929,47,16,34,26,55.3,469,2578,1134,52,21,24,49,28,575,121,Matches
464,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,2.3,117,9,57,53,9,3,117,0,0,,0,,59,264,126,0,0,0,2,1,71,2,Matches
465,Raphinha,br BRA,"FW,MF",Barcelona,27,1996,31.5,1863,31,114,661,1113,183,1861,103,52,50.5,44,42.7,1016,5592,2865,94,66,46,53,29,1316,349,Matches
466,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,26,1998,34.1,2193,85,590,936,697,71,2193,147,76,51.7,63,42.9,1190,7492,3780,122,87,31,69,49,1365,167,Matches
467,Raúl,es ESP,"FW,MF",Osasuna,23,2000,8.3,266,8,18,113,141,42,266,20,11,55,8,40,153,732,286,10,11,4,24,13,196,49,Matches
468,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,25,1998,4.3,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,Matches
469,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,1364,1095,1350,14,0,0,1364,0,0,,0,,766,3774,1911,0,0,0,2,0,669,0,Matches
