Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,0.08,0,0,0.91,1.98,0,2.56,0.17,0.99,0,0,0,3.88,0.74,0.5,60,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,0.07,0.07,0,0.99,2.04,0.39,2.63,0.33,0.2,0.07,0,0,2.43,0.2,0.92,17.6,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,0.09,0,0,1.27,1.73,0.09,3.05,0.36,1.45,0,0,0,4.05,0.23,0.68,25,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,2,0,8,0,0,0,0,0,4,0,0,,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,0.34,0.07,0.03,1.05,0.95,0.07,1.43,1.16,0.71,0,0.03,0,5.99,2.38,1.43,62.5,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,0.33,0,0,1.49,1.55,0.17,1.55,0.83,1.33,0,0.06,0,3.92,0.66,1.05,38.7,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,0.18,0,0,1.6,1.51,0,0.23,1.1,1.69,0.05,0,0,5.34,0.5,1,33.3,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,0.34,0,0,1.43,0.91,0.17,1.77,0.46,0.51,0,0.06,0,4.46,0.34,0.69,33.3,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,0.18,0,0,0.93,0.32,0.32,2.47,0.07,0.61,0,0,0,2.69,0.47,1.11,29.5,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,0.2,0,0,0.76,0.76,0,0.15,1.72,0.66,0,0,0,4.19,2.47,2.12,53.8,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,0.39,0,0,2.09,1.83,0.07,2.03,0.92,1.18,0,0,0,4.77,0.33,1.05,23.8,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,0.24,0,0,0.95,1.67,0.48,1.67,0.48,0,0,0,0,3.1,0.24,1.43,14.3,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,0.38,0,0,0.91,2.12,0.38,0.08,0.23,0.45,0,0,0,3.33,3.56,3.33,51.6,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,0.26,0,0,1.67,2.02,0.35,1.75,0.7,0.88,0,0,0,3.42,0.53,1.58,25,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,0.13,0.07,0,0.99,1.79,0.07,2.65,0.66,0.73,0.07,0,0,4.83,0.33,0.93,26.3,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,0.37,0,0,1.57,2.51,0.52,1.15,0.94,1.41,0.05,0,0,3.72,1.2,1.83,39.7,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,0,0,0,0,0,0,0,1.5,0.5,0,0,0,2,3,4,42.9,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,0.34,0,0,1.72,1.76,0.1,0.47,0.51,0.98,0,0,0,4.63,1.99,1.82,52.2,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,0.29,0,0,1.83,1.54,0.11,1.65,1.1,2.56,0,0.04,0,4.65,1.47,1.21,54.8,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,0.36,0,0,1.07,0.48,0,0,1.07,1.07,0,0,0,3.21,3.93,2.38,62.3,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,0.26,0,0,0.91,0.58,0.23,4.94,0.23,1.11,0,0,0,3.45,0.79,0.56,58.7,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,0,0,0,0,3.33,2.67,12,3.33,3.33,0,0,0,10.7,0.67,2,25,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,0,0,0,0.43,1.28,0.51,1.71,0.51,0.77,0,0,0,3.59,0.43,2.22,16.1,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,0.16,0,0,0.65,1.02,0.05,0,0.86,0.86,0,0,0,4.03,1.61,0.81,66.7,Matches
