Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,0.1,0,0,0.82,0.31,0,0.07,0.55,0.79,0,0.03,0,3.51,2.13,1.51,58.5,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,0,0,0,0.79,0.71,0.39,0.94,0.55,0.79,0.08,0,0,2.2,2.28,2.76,45.3,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,0.45,0,0,0.45,0.45,1.36,0,0,0.45,0,0,0,0.91,0.91,0,100,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,0.14,0,0,1.08,1.08,0.95,5.14,0.14,0.41,0,0.07,0,2.7,0.07,0.2,25,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,0.13,0,0,0.69,1.21,0.1,5.34,0.52,0.85,0,0,0,4,0.43,0.33,56.5,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,0.3,0,0,0.81,2.09,0,2.52,0.26,1.11,0,0,0,5.47,0.17,0.3,36.4,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,0,0,0,0.27,0.55,0,0.14,1.51,0.41,0,0,0,3.15,2.47,0.68,78.3,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,0,0,0,1.29,1.29,0.65,1.29,0,0.97,0,0,0,3.87,2.58,1.94,57.1,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,0.29,0,0,1.35,1.16,0.05,1.11,1.01,1.16,0.05,0.05,0,3.67,1.5,1.4,51.7,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,0,0,0,0.91,2.21,0.06,0.52,0.26,1.23,0,0,0,3.51,0.19,0.91,17.6,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,100,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,0.15,0,0,0.52,0.44,0,3.11,0.52,1.11,0,0,0,5.93,0.37,0.59,38.5,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,0.15,0,0,1.65,1.73,0.53,0.38,0.15,0.08,0.08,0,0,1.88,3.23,6.24,34.1,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,0.25,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,0.16,0,0,1.31,2.62,0.33,1.97,1.31,1.48,0,0,0,6.72,0.49,1.97,20,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,0.27,0,0,2.6,1.92,0.68,1.92,0.14,0.68,0,0,0,3.84,1.37,2.6,34.5,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,0.35,0.04,0,1.41,0.92,0.04,1.13,0.74,0.46,0,0,0,3.6,1.52,1.06,58.9,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,0,0,0,0.03,0.19,0,0,0,0.03,0,0.03,0,1.16,0.41,0,100,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,0,0,0,1.47,0.29,0,1.18,0,1.18,0,0,0,2.35,2.35,2.06,53.3,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,0.08,0,0,0.61,0.76,0,0,0.99,0.84,0,0,0.08,3.44,2.14,1.15,65.1,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,0.53,0,0,1.05,0,0,0,1.58,0.53,0,0.53,0,4.21,0.53,1.58,25,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,0.26,0,0,1.28,3.46,1.15,0.13,0.38,0.51,0,0,0,1.92,1.79,2.95,37.8,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,0.19,0.1,0.05,1.16,0.63,0,0,0.87,0.72,0,0.1,0,3.04,1.35,0.87,60.9,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,0.5,0,0,2.5,6.5,0,4,0.5,2,0,0,0,5.5,1,2.5,28.6,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,0.19,0,0,2.06,1.16,0.45,1.16,0.52,0.58,0,0,0,2.97,0.84,2.06,28.9,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,0.21,0,0,1.58,2.07,0.29,0.29,0.41,0.33,0.08,0.04,0.04,1.91,2.45,4.19,36.9,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,0,0,0,0.56,1.5,0.37,2.06,0.47,1.21,0,0,0,5.89,0.37,0.84,30.8,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,0.12,0.06,0,1.54,1.11,0.06,0.25,0.68,0.68,0,0,0,3.27,1.79,1.54,53.7,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,0.22,0,0,1.4,1.17,0.78,6.37,0.73,1.12,0,0,0,3.74,0.73,1.84,28.3,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,0.25,0,0,2.5,2.25,0.5,0.5,1,0.25,0.25,0,0,1.75,1.5,1,60,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,0.43,0,0,1.94,1.61,0,2.58,1.29,2.58,0,0.11,0,5.91,1.51,1.18,56,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,0.51,0.09,0.09,1.72,1.4,0,0.05,1.95,2.09,0,0.05,0,5.49,1.4,1.49,48.4,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,0,0,2.5,0,0,0,0,0,0,0,15,5,75,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,100,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,0.26,0,0,1.21,1.9,0.17,5.69,1.29,1.12,0,0,0,5.43,0.95,0.95,50,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22,0.09,0,0,1.05,1.73,0.18,2.23,0.32,1.14,0.09,0,0,4.64,1.18,1.68,41.3,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,2.6,0.38,0,0,0.77,0.77,0.77,0,0.38,0.38,0,0,0,2.69,0.77,2.69,22.2,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,0,0,0,1.5,3.5,0,5,0,1,0,0,0,1.5,0,1,0,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,0.28,0,0,0.85,0.53,0.04,1.9,1.62,1.38,0,0,0,4.13,0.2,0.49,29.4,Matches
192,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
193,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,0.24,0,0,0,0.24,0,0,0,0,0,0,0,1.33,0.24,0,100,Matches
194,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,1.1,0.91,0,0,1.82,0,0,0,1.82,0,0,0,0,3.64,2.73,2.73,50,Matches
195,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,16.6,0.06,0,0,1.69,1.51,0.54,0.12,0.18,0.24,0.06,0,0,1.99,2.05,3.25,38.6,Matches
196,Valery Fernández,es ESP,"MF,FW",Mallorca,24,1999,3.4,0.29,0,0,0.88,0.29,0.29,0.88,0,2.06,0,0,0,5.59,0.29,1.18,20,Matches
197,André Ferreira,pt POR,GK,Valladolid,28,1996,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17,0,Matches
198,Mateo Flores,es ESP,MF,Betis,20,2004,1.7,0.59,0,0,2.35,0.59,0,0.59,1.18,0.59,0,0,0,7.06,0,1.18,0,Matches
199,Pablo Fornals,es ESP,"MF,FW",Betis,28,1996,20.3,0.1,0,0,0.59,0.69,0.15,2.66,1.13,0.64,0,0,0,5.62,0.89,1.03,46.2,Matches
200,Héctor Fort,es ESP,DF,Barcelona,17,2006,6.5,0.31,0,0,1.23,0.15,0,1.85,0.92,1.23,0,0,0,4.92,0.46,1.08,30,Matches
201,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,25.5,0.24,0,0,0.94,1.22,0.04,2.24,0.63,1.22,0,0,0,3.8,0.51,0.78,39.4,Matches
202,Juan Foyth,ar ARG,DF,Villarreal,26,1998,16.9,0.24,0,0,0.95,0.3,0,0.24,1.12,0.89,0,0,0,3.61,2.43,1.66,59.4,Matches
203,Fran,es ESP,GK,Real Madrid,19,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
204,Alejandro Francés,es ESP,DF,Girona,21,2002,13,0.15,0,0,1.54,1.08,0.08,1.92,1.31,1.85,0,0,0,2.85,0.46,1,31.6,Matches
205,Enric Franquesa,es ESP,"DF,FW",Leganés,27,1997,6.8,0.15,0,0,1.18,0.88,0,2.35,0.74,1.32,0,0,0,4.26,0.74,0.74,50,Matches
206,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,27,1997,27.7,0.11,0.04,0,1.48,1.19,0.32,2.49,0.69,0.76,0,0,0,4.01,0.54,0.87,38.5,Matches
207,Darío Fuentes,es ESP,DF,Sevilla,21,2003,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
208,Manuel Fuster,es ESP,"FW,MF",Las Palmas,26,1997,11.1,0.18,0,0,1.08,3.33,0.09,6.04,0.36,0.99,0,0,0,5.68,0.27,1.17,18.8,Matches
209,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,19.8,0.4,0,0,1.92,1.77,0.2,2.88,0.61,1.57,0,0.05,0,3.59,1.26,1.26,50,Matches
210,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,16.4,0.3,0,0,2.62,1.04,0.06,1.77,0.98,1.34,0,0,0,7.32,0.49,0.73,40,Matches
211,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,18.1,0.11,0,0,1.77,2.15,0.06,0.72,1.1,1.77,0.06,0,0,5.91,0.5,1.16,30,Matches
212,Facundo Garcés,ar ARG,DF,Alavés,24,1999,7.5,0.27,0,0,0.93,0.27,0,0.13,0.67,0.27,0,0.13,0,1.87,1.73,1.87,48.1,Matches
213,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,31,1992,28.4,0.14,0,0,0.63,0.67,0.56,3.84,1.13,0.85,0.04,0.04,0,3.31,0.32,0.63,33.3,Matches
214,Eric García,es ESP,"DF,MF",Barcelona,23,2001,17.4,0.23,0,0,1.15,0.46,0,0.4,0.8,1.21,0,0,0,3.1,1.55,1.44,51.9,Matches
215,Fran Garcia,es ESP,DF,Real Madrid,24,1999,24.1,0,0,0,0.54,0.91,0.17,2.74,1.16,1.49,0,0,0,4.4,0.71,0.87,44.7,Matches
216,Gonzalo García,es ESP,"FW,DF",Real Madrid,20,2004,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.67,1.67,0,100,Matches
217,Joan García,es ESP,GK,Espanyol,23,2001,38,0.05,0,0,0,0.18,0,0,0,0,0,0,0,0.92,0.55,0.03,95.5,Matches
218,Pablo Garcia,es ESP,FW,Betis,17,2006,0.4,0,0,0,0,0,2.5,5,0,0,0,0,0,7.5,0,0,,Matches
219,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,26.8,0.07,0,0,1.34,1.16,0.37,5.07,0.56,1.16,0.04,0,0,4.55,1.04,1.38,43.1,Matches
220,Unai García,es ESP,DF,Osasuna,32,1992,0.7,0,0,0,4.29,4.29,0,0,0,0,0,0,0,2.86,1.43,7.14,16.7,Matches
221,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,10.5,0.1,0,0,0.48,0.19,0,0.29,2.48,1.52,0,0,0,3.81,2.29,1.24,64.9,Matches
222,Gavi,es ESP,"MF,FW",Barcelona,19,2004,12.1,0.33,0,0,3.14,2.15,0.08,0.74,0.83,1.74,0,0,0,5.04,1.74,2.15,44.7,Matches
223,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,0.11,0,0,0.03,0.08,0,0,0,0.03,0,0,0,1.32,0.03,0.06,33.3,Matches
224,Bryan Gil,es ESP,"FW,MF",Girona,23,2001,19.1,0.21,0,0,1.15,2.09,0.21,4.08,0.52,1.05,0,0,0,4.08,0,0.26,0,Matches
225,Dani Gómez,es ESP,FW,Valencia,26,1998,5.9,0,0,0,1.19,1.36,1.69,0,0.34,0.34,0,0,0,2.37,1.19,4.07,22.6,Matches
226,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,8.8,0.11,0,0,1.59,0.68,0.11,3.18,0.68,1.02,0,0,0.11,7.5,0.8,1.36,36.8,Matches
227,Sergi Gómez,es ESP,DF,Espanyol,32,1992,7.4,0.14,0,0,0.81,0.14,0,0.14,0.95,0.68,0,0,0,2.03,1.49,2.97,33.3,Matches
228,Sergio Gómez,es ESP,"MF,DF",Real Sociedad,23,2000,30.4,0.13,0,0,0.95,0.53,0.3,7.6,0.63,1.28,0,0.03,0,4.8,0.66,0.72,47.6,Matches
229,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,14.3,0.07,0,0,0.84,1.26,0,1.61,0.14,0.56,0,0,0,2.94,2.03,2.17,48.3,Matches
230,Fabio González,es ESP,MF,Las Palmas,27,1997,0.6,0,0,0,1.67,0,0,1.67,0,0,0,0,0,5,1.67,0,100,Matches
231,Peter González,do DOM,"MF,FW",Getafe,22,2002,5.3,0.19,0,0,1.7,1.89,0.38,2.64,0.38,1.13,0,0,0,3.77,1.89,2.45,43.5,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,15.3,0.13,0,0,0.98,0.72,0.07,0.2,0.52,1.83,0,0.07,0,4.64,1.31,0.98,57.1,Matches
233,Urko González,es ESP,MF,Real Sociedad,23,2001,0.5,2,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,Matches
234,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,16.5,0.3,0,0,1.45,0.24,0.06,2.48,1.09,1.7,0,0,0,3.39,1.21,1.7,41.7,Matches
235,José Gragera,es ESP,MF,Espanyol,23,2000,6.3,0,0,0,2.86,1.27,0,0,0.79,2.54,0,0,0,2.86,1.75,0.79,68.8,Matches
236,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,0.03,0,0,0,0.1,0,0,0,0,0,0,0,1.35,0.23,0.06,77.8,Matches
237,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,27.4,0.07,0,0,0.4,0.95,0.51,5.04,0.22,0.62,0,0,0,3.39,0.77,0.84,47.7,Matches
238,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,6.9,0.14,0,0,0.87,1.74,0,0.87,0.58,1.01,0,0,0,6.09,0.72,0.58,55.6,Matches
239,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,0,0,0,0,0.15,0,0,0,0,0,0,0,2.21,0.29,0,100,Matches
240,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,4,0.25,0,0,2.25,1.75,0.5,1,0.25,0.75,0,0,0,1.75,1.5,3,33.3,Matches
241,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,27.7,0.22,0,0,0.94,0.51,0,1.12,0.97,0.87,0,0,0,2.67,1.66,0.94,63.9,Matches
242,Javier Guerra,es ESP,MF,Valencia,21,2003,28.7,0.17,0,0,1.18,1.05,0.03,1.57,0.7,0.94,0,0,0,5.85,0.59,0.63,48.6,Matches
243,Ander Guevara,es ESP,MF,Alavés,27,1997,21.6,0.14,0,0,1.81,0.83,0,0.23,0.65,1.39,0,0,0,5.56,1.39,1.81,43.5,Matches
244,Pape Gueye,sn SEN,MF,Villarreal,25,1999,24.7,0.24,0.08,0.04,1.26,2.51,0.16,0.81,1.09,1.05,0,0.04,0,5.1,1.26,0.93,57.4,Matches
245,Hugo Guillamón,es ESP,MF,Valencia,24,2000,4,0.5,0,0,1.5,1,0.25,0.25,1.25,2,0,0,0,5.25,1.25,1,55.6,Matches
246,Carlos Guirao,es ESP,MF,Betis,21,2003,1.2,0,0,0,3.33,0,0,0,2.5,2.5,0,0,0,5,1.67,0.83,66.7,Matches
247,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,13.9,0.07,0,0,1.08,2.23,0.29,4.1,0.5,1.15,0.07,0,0,4.03,0.5,0.79,38.9,Matches
248,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,9.4,0.43,0,0,2.23,1.17,0.21,4.04,0.53,1.28,0,0,0,2.87,1.81,2.34,43.6,Matches
249,Jon Guridi,es ESP,"MF,FW",Alavés,29,1995,23.1,0.26,0,0,1.52,0.61,0.22,0.74,0.61,0.95,0,0.04,0,3.72,2.03,2.86,41.6,Matches
250,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,20.4,0.1,0,0,1.96,1.03,0.34,0.25,0.44,0.39,0,0,0,2.99,1.76,3.38,34.3,Matches
251,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,27.3,0.15,0,0,1.06,1.25,0.22,5.6,0.59,0.88,0,0.04,0,5.27,0.15,0.59,20,Matches
252,Munir El Haddadi,ma MAR,"FW,MF",Leganés,28,1995,9.6,0.1,0.1,0,1.46,4.06,0.73,1.35,0.1,0.94,0,0,0,3.44,1.04,2.5,29.4,Matches
253,Sébastien Haller,ci CIV,FW,Leganés,30,1994,4.5,0,0,0,0.89,1.11,1.56,0,0,0,0,0,0,2.22,5.78,3.78,60.5,Matches
254,Henrique,br BRA,DF,Valladolid,30,1994,3.9,0,0,0,1.28,2.31,0,0.77,0.77,0.51,0,0.26,0,2.31,0.26,0.51,33.3,Matches
255,Javi Hernández,es ESP,DF,Leganés,26,1998,26.5,0.23,0,0,1.85,0.6,0.19,1.96,0.87,0.57,0,0,0,4.23,0.79,0.87,47.7,Matches
256,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,11.4,0.09,0,0,0.44,0.88,0,0,0.53,0.96,0,0,0.09,4.21,3.51,1.67,67.8,Matches
257,Jorge Herrando,es ESP,DF,Osasuna,23,2001,15.2,0.2,0,0,1.64,0.13,0,0.13,0.79,0.72,0,0.07,0,2.37,1.91,0.72,72.5,Matches
258,Ander Herrera,es ESP,MF,Athletic Club,34,1989,3,0.67,0,0,2,1,0,0.33,0.67,1.33,0,0,0,4.67,1,0.67,60,Matches
259,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,0.14,0,0,0.03,0.11,0,0,0,0.03,0,0.03,0,0.89,0.14,0.03,83.3,Matches
260,Yangel Herrera,ve VEN,MF,Girona,26,1998,25.1,0.4,0.04,0,2.87,2.71,0.2,1.75,1.24,1.55,0.04,0,0,4.22,1.99,1.79,52.6,Matches
261,Juan Herzog,es ESP,DF,Las Palmas,21,2003,14.6,0.07,0,0,0.41,0.48,0,0,1.23,0.82,0,0,0,2.81,3.01,1.71,63.8,Matches
262,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,35,0.31,0,0,1.49,0.86,0.2,1.63,1.31,2.26,0,0.06,0,3.77,1.03,0.86,54.5,Matches
263,Roger Hinojo,es ESP,DF,Espanyol,19,2005,0.1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,Matches
264,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,0.08,0,0,0.08,0.08,0,0,0,0,0,0.08,0,1.16,0,0,,Matches
265,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,14.4,0.28,0,0,1.94,2.01,0,0.9,1.25,0.69,0,0,0,3.89,1.32,1.67,44.2,Matches
266,Stanis Idumbo,be BEL,"FW,MF",Sevilla,19,2005,3.2,0,0,0,0.31,2.19,0,0,1.25,1.56,0,0,0,5.94,0.31,0,100,Matches
267,Iglesias,es ESP,DF,Getafe,26,1998,32.1,0.12,0,0,1.4,1.28,0.03,2.62,1.56,1.46,0,0,0,3.33,1.09,1.18,47.9,Matches
268,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,21.7,0.09,0,0,1.84,1.57,0.65,0.28,0.32,0.41,0.09,0,0,2.12,0.65,1.24,34.1,Matches
269,Kelechi Iheanacho,ng NGA,FW,Sevilla,27,1996,4.4,0,0,0,1.14,0.23,1.59,0,0,0,0,0,0,1.59,0.45,1.82,20,Matches
270,Isco,es ESP,MF,Betis,32,1992,17.2,0.29,0,0,1.34,2.56,0.23,5.35,0.64,0.76,0,0,0,4.13,0.76,1.22,38.2,Matches
271,Diego Iturralde,es ESP,FW,Sevilla,21,2003,0.4,0,0,0,2.5,2.5,0,0,2.5,0,0,0,0,2.5,2.5,0,100,Matches
272,Ivan Jaime Pajuelo,es ESP,MF,Valencia,23,2000,3.3,0,0,0,2.42,3.03,0.3,1.82,0.61,1.52,0,0,0,5.76,1.21,1.21,50,Matches
273,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,0,0,0,0,0.06,0,0,0,0,0,0,0,1.39,0.23,0,100,Matches
274,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,6.6,0.76,0,0,0.76,3.33,0,9.85,0.3,0.91,0,0,0,4.55,0.61,2.12,22.2,Matches
275,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,24.9,0.16,0.04,0,1.85,1.69,0,1.08,1.16,1.93,0.04,0,0,5.78,1.37,1.41,49.3,Matches
276,John Joe,ie IRL,"MF,FW",Getafe,20,2003,0.5,2,0,0,2,4,0,0,0,0,0,0,0,6,4,4,50,Matches
277,Jofre,es ESP,"MF,FW",Espanyol,23,2001,24.1,0.21,0,0,1.16,2.45,0.12,2.24,0.62,0.66,0,0,0,4.36,0.21,0.71,22.7,Matches
278,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,12.7,0.24,0,0,1.1,1.42,0,0.47,0.94,0.87,0,0.08,0,4.49,0.79,0.55,58.8,Matches
279,Joan Jordán,es ESP,MF,Alavés,30,1994,15.7,0.25,0,0,1.78,0.7,0.06,6.75,0.57,1.15,0,0,0,3.89,1.02,0.83,55.2,Matches
280,Juanmi,es ESP,"FW,MF",Getafe,31,1993,7.7,0.26,0,0,2.47,1.3,0.78,0,0.26,1.43,0,0,0,2.99,0.78,1.04,42.9,Matches
281,Juanmi,es ESP,"FW,MF",Betis,31,1993,2.7,0.74,0,0,2.22,2.59,0.37,0.37,0.37,1.48,0,0,0,5.19,2.22,0.37,85.7,Matches
282,Juanpe,es ESP,DF,Girona,33,1991,8.1,0.25,0,0,0.49,0.25,0,0.12,0.99,0.62,0,0,0,2.72,3.09,1.11,73.5,Matches
283,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,0.12,0,0,0,0.37,0,0,0,0,0,0,0,1.11,0.37,0.06,85.7,Matches
284,Vinicius Júnior,br BRA,FW,Real Madrid,24,2000,25,0.32,0.04,0,1.2,2.8,0.4,2.24,0.12,0.4,0.08,0,0,2.84,0.04,0.28,12.5,Matches
285,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,19.2,0.36,0.05,0.05,1.98,0.47,0,0,1.25,1.25,0,0,0,4.79,2.6,1.15,69.4,Matches
286,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,12.4,0.08,0.08,0,0.4,0,0,0,0.81,0.97,0,0,0,2.42,1.29,1.45,47.1,Matches
287,Abdoulaye Keita,es ESP,"FW,MF",Getafe,21,2002,1.1,0,0,0,5.45,0,0,0.91,0,1.82,0,0,0,5.45,2.73,2.73,50,Matches
288,Kenedy,br BRA,"MF,FW",Valladolid,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
289,Kiké,es ESP,FW,Alavés,34,1989,28.2,0.18,0.04,0.04,1.74,2.09,0.78,0.46,0.04,0.5,0.04,0,0,3.19,3.9,3.55,52.4,Matches
290,Koke,es ESP,MF,Atlético Madrid,32,1992,21.4,0.19,0,0,1.07,0.75,0,1.03,0.93,1.07,0,0,0.05,5.7,0.37,0.42,47.1,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,25,1998,28.9,0.14,0,0,0.76,0.66,0.24,2.18,0.69,1.49,0,0,0,3.7,1.04,0.8,56.6,Matches
292,Alex Král,cz CZE,MF,Espanyol,26,1998,30.2,0.03,0,0,1.03,0.76,0,1.26,0.93,1.23,0,0,0,4.21,1.26,0.93,57.6,Matches
293,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,27.1,0.33,0,0,0.89,0.63,0,0.41,1.25,0.59,0.04,0,0.04,3.73,2.03,0.89,69.6,Matches
294,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,26.4,0.19,0,0,0.8,2.77,0.3,3.22,0.64,0.76,0.04,0,0,4.47,0.42,0.72,36.7,Matches
295,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,33,0.27,0,0,1.12,0.88,0,0.18,1.03,0.79,0,0,0.03,2.24,2.15,1.33,61.7,Matches
296,Luca de la Torre,us USA,MF,Celta Vigo,26,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Matches
297,Yoel Lago,es ESP,DF,Celta Vigo,20,2004,6.5,0.31,0,0,2.46,1.38,0,0,0.62,1.23,0,0.15,0,3.38,0.46,0.92,33.3,Matches
298,Cyle Larin,ca CAN,FW,Mallorca,29,1995,19.6,0.2,0,0,1.63,1.58,1.22,0.31,0.05,0.31,0.05,0,0,2.35,3.37,4.39,43.4,Matches
299,Juanmi Latasa,es ESP,FW,Valladolid,23,2001,15.5,0.39,0.06,0,2.58,2.32,0.45,0.32,0,0.13,0,0.06,0,1.55,5.81,3.74,60.8,Matches
300,Toni Lato,es ESP,DF,Mallorca,26,1997,6.9,0.14,0.14,0,1.74,0.43,0.29,3.33,0.87,1.59,0,0,0,4.35,0.87,1.01,46.2,Matches
301,Robin Le Normand,es ESP,DF,Atlético Madrid,27,1996,23.9,0.33,0,0,1.46,1,0.13,0.04,0.42,0.75,0,0.04,0,3.43,2.26,1.63,58.1,Matches
302,Florian Lejeune,fr FRA,DF,Rayo Vallecano,33,1991,36.9,0.22,0,0,1.36,0.51,0,0.22,1.11,0.76,0,0.08,0,4.23,2.49,1.63,60.5,Matches
303,Iñigo Lekue,es ESP,DF,Athletic Club,31,1993,8.6,0.12,0,0,0.58,0.23,0,1.86,1.05,1.4,0,0,0,4.53,0.7,0.23,75,Matches
304,Thomas Lemar,fr FRA,MF,Atlético Madrid,28,1995,0.9,0,0,0,1.11,2.22,0,3.33,0,1.11,0,0,0,3.33,0,1.11,0,Matches
305,Clément Lenglet,fr FRA,DF,Atlético Madrid,29,1995,21.9,0.41,0,0,1.32,0.87,0.09,0.18,1,0.78,0,0.09,0,3.38,1.69,1.74,49.3,Matches
306,Robert Lewandowski,pl POL,FW,Barcelona,35,1988,29.6,0.03,0,0,1.01,1.32,0.57,0.17,0.1,0.17,0,0,0,1.52,1.25,1.32,48.7,Matches
307,Samuel Lino,br BRA,"MF,DF",Atlético Madrid,24,1999,17.2,0.17,0,0,0.87,1.74,0.17,2.38,0.47,0.99,0.06,0,0,4.94,0.76,0.7,52,Matches
