Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,1177,882,291,107,0,2,0,0,0,0,0,0,784,4,3,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,54,52,2,2,1,1,0,0,0,0,0,0,46,0,1,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,313,304,8,0,0,1,64,4,2,0,0,0,200,1,14,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,447,438,9,0,2,2,11,0,0,0,0,0,365,0,13,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,24,19,4,2,0,0,1,2,0,0,0,0,17,1,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,328,277,51,6,2,0,10,45,0,0,0,0,270,0,6,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,1548,1490,48,21,22,19,18,11,1,0,0,0,1333,10,27,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,1482,1428,50,46,7,14,5,2,1,0,1,0,1313,4,16,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,232,225,5,2,5,1,1,1,0,0,0,0,161,2,5,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,13,13,0,0,0,0,2,0,0,0,0,0,9,0,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,1398,1149,246,27,0,19,42,219,0,0,0,0,1174,3,19,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,954,769,178,57,7,3,178,15,101,42,36,1,628,7,28,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,130,110,18,2,0,0,9,14,2,1,1,0,101,2,4,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,198,182,14,0,0,0,13,14,0,0,0,0,142,2,14,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,377,358,19,17,0,3,0,0,0,0,0,0,287,0,1,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,1278,1207,63,53,5,23,29,7,0,0,0,0,1013,8,24,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,2610,2402,198,65,4,32,42,119,1,0,0,0,2318,10,29,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,502,397,105,6,0,0,31,99,0,0,0,0,401,0,10,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,1402,1326,74,50,4,6,2,18,0,0,0,0,1220,2,9,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,190,182,8,4,0,1,0,0,0,0,0,0,174,0,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,502,482,19,1,1,1,11,3,0,0,0,0,380,1,20,Matches
