Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,43.6,55.6,78.4,647.8,264.7,23.4,26,89.9,16.8,21.7,77.6,1.79,4.47,40.2,0.04,0.04,0.05,0,0.55,3,0.4,0.22,3.55,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,79.3,86.3,91.9,1477.1,471.1,26,27.9,93.2,46.2,48.3,95.6,5.95,8.33,71.4,0.12,0.05,0.02,0.07,0.48,6.07,0.36,0,5.83,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,25,45,55.6,320,75,15,25,60,10,15,66.7,0,0,,0,0,0,0,0,0,5,0,15,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,33.3,46,72.4,563.3,238.1,16.1,18.2,88.3,13.5,18.5,72.9,2.98,6.4,46.6,0.09,0.1,0.09,-0.01,0.88,2.81,1.46,0.88,3.1,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,30,50,60,250,20,30,40,75,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,34.7,51.3,67.5,480,166,21.3,24,88.9,5.33,10,53.3,4,10,40,0,0.07,0.27,-0.07,2,1.33,2.67,2,2.67,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,37,54,68.5,533,210,22,23,95.7,12,20,60,2,5,40,0,0,0,0,0,1,0,0,1,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,12.6,18.7,67.6,177,41.5,7.95,9.4,84.5,4.1,5.73,71.6,0.34,1.45,23.5,0.09,0.06,0.05,0.03,0.51,0.68,0.26,0.17,1.71,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,49.8,53.1,93.8,853.8,289.7,22.3,23.1,96.5,23.8,24.7,96.3,3.06,4.41,69.5,0.05,0.03,0.02,0.02,0.32,2.53,0.16,0,1.45,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,34.1,45.2,75.4,551.7,157.9,18,22.1,81.4,10.4,13,79.4,3.76,5.41,69.5,0.26,0.24,0.2,0.02,1.96,3.81,1.8,0.21,6.8,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,30.2,41.9,72.1,552.1,140.6,14,16.5,85.2,11.8,15.3,77,3.97,7.37,53.9,0.06,0.18,0.22,-0.12,1.54,2.24,2.44,0.58,4.94,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,22.1,31.7,69.7,368.3,81.9,11.9,14.7,80.9,7.47,10.4,71.8,2.13,4,53.3,0,0.13,0.13,-0.13,2,0.13,1.47,0.8,2.4,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,25.3,35.4,71.4,377.3,130,14.2,16.6,85.7,8.66,12.2,71.2,1.65,3.81,43.2,0,0.03,0.04,-0.03,0.62,1.75,0.41,0.21,2.58,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,59.9,69.2,86.6,931.3,355.8,30.9,33,93.8,24.7,27.7,89.2,2.89,6.49,44.4,0,0.01,0.04,-0.01,0.31,4.74,0.41,0.1,6.8,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,10,26,38.5,158,14,6,16,37.5,2,4,50,2,4,50,0,0,0,0,0,2,0,0,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,52.4,61.1,85.7,1047.2,396.7,18,19.2,93.7,28.7,30.6,94,5.5,10.3,53.4,0.03,0.02,0.01,0.01,0.13,3.15,0.1,0,2.08,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,29.8,44.7,66.6,605.3,228.4,10.9,13.7,79.7,13.6,18.6,73.5,4.79,9.65,49.6,0.31,0.41,0.44,-0.09,3.3,3.3,2.5,0.66,6.56,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,34.4,42.4,81.1,655.6,221.1,12.3,13.6,90.1,18.4,19.9,92.7,3.23,7.6,42.5,0,0,0,0,0.1,1.56,0,0,1.35,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,40.6,46.4,87.5,727.4,277.4,14.9,15.8,94.5,21.7,23.9,90.9,3.33,5.94,56.1,0,0,0,0,0,2.61,0,0,2.61,Matches
