Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,2.35,1.23,0.91,1.19,0.25,1.32,1.89,69.6,0.58,1.23,0.33,0.91,1.15,3.5,1.98,0.04,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,1.86,1.36,0.5,1,0.36,0.43,1.64,26.1,1.21,1.07,0,1.07,0.79,2.64,1.14,0.07,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,1.78,1,0.89,0.77,0.12,0.89,1.81,48.9,0.93,0.69,0.19,0.5,1.31,3.09,1.27,0.35,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,0.43,0.31,0.08,0.19,0.16,0.16,0.39,40,0.23,0.58,0.08,0.5,0,0.43,0.74,0,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,1.42,0.82,0.86,0.56,0,0.64,1.12,57.7,0.47,1.76,1.07,0.69,1.42,2.83,6.35,0,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,0.13,0.06,0.13,0,0,0.13,0.19,66.7,0.06,0,0,0,0,0.13,0.47,0.13,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,2.5,1.5,1.5,0.5,0.5,2,3.5,57.1,1.5,1.5,0.5,1,0,2.5,2.5,0,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,0.27,0.18,0,0.27,0,0,0.18,0,0.18,0.36,0,0.36,0.09,0.36,0.9,0,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,1.84,1.14,1.08,0.44,0.32,0.82,1.65,50,0.82,1.2,0.19,1.01,0.63,2.47,0.76,0,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,10,10,10,0,0,10,10,100,0,0,0,0,0,10,20,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,1.25,1.25,1.25,0,0,1.25,2.5,50,1.25,2.5,1.25,1.25,2.5,3.75,2.5,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,2.03,1.09,1.09,0.63,0.31,1.56,2.66,58.8,1.09,0.78,0.47,0.31,0.94,2.97,3.28,0,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,2.21,1.2,0.72,0.98,0.51,1.01,1.52,66.7,0.51,1.34,0.07,1.27,1.01,3.22,0.83,0.04,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,1.86,1.3,0.89,0.78,0.19,0.89,2.08,42.9,1.19,0.97,0.22,0.74,0.97,2.83,1.26,0.15,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,3.52,2.59,1.85,1.11,0.56,1.11,2.04,54.5,0.93,0.93,0.37,0.56,1.48,5,2.59,0.19,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,0,0,0,2.5,0,2.5,0,0,0,2.5,2.5,5,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,1.45,0.93,0.84,0.48,0.13,0.84,1.45,57.6,0.62,1.1,0.22,0.88,1.19,2.64,3.17,0.13,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,1.23,0.62,0.23,0.62,0.38,0.54,1.19,45.2,0.65,0.88,0.08,0.81,0.38,1.62,0.69,0,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,2.96,2.22,0.74,1.85,0.37,2.59,2.96,87.5,0.37,1.85,0.37,1.48,0.37,3.33,1.48,0,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,3.75,2.92,2.92,0.42,0.42,1.67,2.08,80,0.42,1.25,0.42,0.83,0.42,4.17,1.67,0,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,2.44,1.67,1.15,0.64,0.64,0.9,1.54,58.3,0.64,1.15,0.38,0.77,0.26,2.69,1.54,0,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,1.19,0.59,0.85,0.34,0,0.85,1.19,71.4,0.34,0.51,0.25,0.25,1.27,2.46,5,0,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,2.21,1.32,0.76,1.22,0.23,1.06,2.74,38.6,1.68,0.99,0.23,0.76,1.39,3.6,1.58,0.03,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,1.59,0.87,0.84,0.61,0.13,1,1.55,64.6,0.55,1.04,0.29,0.74,1.04,2.62,3.04,0.06,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,1.64,0.9,0.9,0.57,0.16,0.82,1.23,66.7,0.41,0.82,0.25,0.57,0.98,2.62,2.21,0.08,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,2.05,1.3,1.39,0.54,0.12,0.9,1.17,76.9,0.27,1.02,0.57,0.45,1.33,3.37,4.13,0.09,Matches
