Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,3,0,0,9,4,1,37,3,4,0,0,0,10,5,8,38.5,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,6,0,0,25,45,0,3,28,30,1,0,0,117,37,24,60.7,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,6,0,0,33,13,6,54,11,19,0,1,0,88,7,14,33.3,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,4,1,0,28,27,0,26,34,26,0,0,0,131,35,21,62.5,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,4,0,0,47,51,20,5,0,8,1,1,0,36,99,48,67.3,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,2,0,0,15,14,2,1,33,19,0,1,0,88,50,42,54.3,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,6,0,0,1,6,0,0,0,2,0,0,0,49,9,0,100,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,1,0,0,8,0,0,0,0,3,0,0,0,4,3,2,60,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,1,1,0,8,15,9,64,1,2,0,0,0,30,7,16,30.4,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,5,0,0,22,8,3,11,10,18,0,0,0,48,10,9,52.6,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,2,0,0,3,3,0,1,2,1,0,0,0,6,1,1,50,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,1,0,0,6,0,0,10,6,7,0,0,0,13,6,7,46.2,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,5,1,0,33,64,9,18,28,33,1,0,0,97,30,31,49.2,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,3,0,0,34,12,0,5,26,35,0,1,0,119,19,27,41.3,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,3,0,0,18,6,1,1,8,14,0,0,0,32,8,7,53.3,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,1,1,0,2,1,0,0,0,0,3,0,1,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,5,0,0,18,19,4,42,27,21,0,1,0,121,28,20,58.3,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,5,0,0,29,30,5,178,10,16,2,0,0,113,27,50,35.1,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,0,0,0,0,2,1,9,1,7,0,0,0,13,5,2,71.4,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,0,0,0,11,6,1,13,2,13,0,0,0,26,11,13,45.8,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,8,1,1,17,1,0,0,15,7,0,1,0,35,30,17,63.8,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,11,1,1,66,27,0,29,42,40,0,0,0,164,28,35,44.4,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,2,0,0,19,16,1,42,32,27,0,0,0,116,17,24,41.5,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,3,0,0,13,8,1,31,12,11,0,0,0,45,16,9,64,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,5,0,0,43,8,0,2,44,43,0,0,0,121,29,35,45.3,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5,Matches
