Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,1.6,1.6,1.41,0,0.04,0.15,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,2.04,2.04,1.67,0,0.19,0,0,0.19,0.56,0.56,0.56,0,0,0,0,0,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,2.5,2.43,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,1.76,1.76,1.45,0.13,0,0.04,0.04,0.09,0.09,0.09,0.09,0,0,0,0,0,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,3.77,3.77,2.46,0.73,0.35,0.08,0.08,0.08,0.54,0.54,0.23,0.15,0.08,0.04,0.04,0,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,3.33,3.4,2.92,0,0,0.42,0,0,0.42,0.42,0.42,0,0,0,0,0,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,1.28,1.29,1.28,0,0,0,0,0,0.13,0.13,0.13,0,0,0,0,0,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,0.51,0.51,0.34,0.08,0,0,0,0.08,0.08,0.08,0.08,0,0,0,0,0,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,1.49,1.49,1.25,0.1,0,0.03,0.03,0.07,0.03,0.03,0.03,0,0,0,0,0,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,1.52,1.52,1.39,0.06,0,0,0,0.06,0.23,0.23,0.19,0,0,0,0,0.03,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,1.31,1.31,0.98,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,0.39,0.39,0.36,0,0,0.03,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,1.89,1.89,1.56,0,0.06,0.17,0.11,0,0.11,0.11,0.11,0,0,0,0,0,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,2.83,2.8,1.96,0.22,0.22,0.22,0.22,0,0.43,0.43,0.43,0,0,0,0,0,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,1.4,1.4,0.76,0,0.09,0.27,0.27,0,0.43,0.43,0.09,0,0.03,0.06,0.24,0,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,0.63,0.64,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,6.67,6.63,4.44,0,0.56,0,1.67,0,1.11,1.1,0.56,0,0,0,0.56,0,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,2.86,2.87,1.9,0,0.48,0,0.48,0,0,0,0,0,0,0,0,0,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,0.66,0.66,0.53,0,0,0.06,0.03,0.03,0.22,0.22,0.13,0,0,0.06,0.03,0,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,0.76,0.76,0.63,0,0,0,0,0.13,0,0,0,0,0,0,0,0,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,2.54,2.54,2.05,0.08,0.16,0,0.25,0,0.16,0.16,0.16,0,0,0,0,0,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,3.02,3.02,2.14,0,0.56,0.16,0.08,0.08,0.4,0.4,0.16,0,0.16,0,0,0.08,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,2.95,2.95,2.58,0.38,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,3.45,3.47,1.72,1.38,0,0,0,0.34,0,0,0,0,0,0,0,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,0.79,0.79,0.69,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,4.63,4.6,3.17,0.24,0,0.98,0.24,0,0.24,0.24,0.24,0,0,0,0,0,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0.17,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,2.99,2.97,2.39,0.15,0,0.3,0.15,0,0.45,0.45,0.3,0,0,0.15,0,0,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,2.67,2.73,1.33,0,0,1.33,0,0,0,0,0,0,0,0,0,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,2.42,2.41,2.17,0.09,0.03,0.12,0,0,0.4,0.4,0.4,0,0,0,0,0,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,1.47,1.47,1.22,0,0.21,0,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,1.65,1.65,1.16,0.18,0.09,0.06,0.09,0.06,0.03,0.03,0.03,0,0,0,0,0,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,1.96,1.96,1.74,0.05,0.16,0,0,0,0.22,0.22,0.22,0,0,0,0,0,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,1.76,1.77,1.47,0.29,0,0,0,0,0.29,0.3,0.15,0.15,0,0,0,0,Matches
