Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,2,11,4,36.4,1.52,0.55,0.18,0.5,9,0,0,0,1.5,1.5,0.13,0.5,0.5,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,1,7,1,14.3,2.27,0.32,0.14,1,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,0,1,0,0,0.05,0,0,,25.8,0,0,0,0,0,0.03,0,0,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,4,28,15,53.6,1.82,0.97,0.14,0.27,12.6,0,0,0,5.3,5.3,0.19,-1.3,-1.3,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,3,31,7,22.6,2.3,0.52,0.1,0.43,24.6,1,0,1,2.4,1.6,0.05,0.6,1.4,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,3,29,9,31,2.18,0.68,0.1,0.33,14.1,0,0,0,3.8,3.8,0.13,-0.8,-0.8,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,2,11,3,27.3,1.82,0.5,0.18,0.67,17.3,0,0,0,1.4,1.4,0.13,0.6,0.6,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,1,15,3,20,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,0,6,0,0,0.21,0,0,,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,0,8,2,25,2.38,0.59,0,0,15.2,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,0,3,1,33.3,0.23,0.08,0,0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,11.1,0,0,0,4.4,4.4,0.26,-1.4,-1.4,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,1,3,1,33.3,0.15,0.05,0.33,1,13,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,0,2,1,50,1.01,0.5,0,0,30.3,0,0,0,0,0,0.01,0,0,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,4,26,9,34.6,1.68,0.58,0.15,0.44,14.8,0,0,0,3.6,3.6,0.14,0.4,0.4,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,11,48,16,33.3,1.99,0.66,0.21,0.63,11.1,1,1,1,9.4,8.6,0.18,1.6,1.4,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,2,20,8,40,1.86,0.75,0.1,0.25,18.3,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,0,4,0,0,0.25,0,0,,8.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,1,37,12,32.4,2.07,0.67,0.03,0.08,22.1,2,0,0,2.1,2.1,0.06,-1.1,-1.1,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,1,24,6,25,5.95,1.49,0.04,0.17,16.4,0,0,0,2.5,2.5,0.1,-1.5,-1.5,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,0,10,2,20,1.08,0.22,0,0,25.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,1,23,4,17.4,1.07,0.19,0.04,0.25,25.5,0,0,0,0.7,0.7,0.03,0.3,0.3,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,1,2,2,100,4.86,4.86,0.5,0.5,16.3,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,0,18,6,33.3,1.55,0.52,0,0,22.2,3,0,0,1,1,0.06,-1,-1,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22,2,61,25,41,2.77,1.13,0.03,0.08,15.6,1,0,1,8,7.2,0.12,-6,-5.2,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,2.6,0,12,5,41.7,4.64,1.93,0,0,17.1,0,0,0,1,1,0.08,-1,-1,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,0,7,1,14.3,3.5,0.5,0,0,23.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,0,3,0,0,0.12,0,0,,24.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
192,Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
193,Álvaro Fernández,es ESP,GK,Sevilla,26,1998,8.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
194,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,21,2003,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
195,Roberto Férnandez,es ESP,FW,Espanyol,22,2002,16.6,6,21,9,42.9,1.26,0.54,0.29,0.67,14,0,0,0,3.6,3.6,0.17,2.4,2.4,Matches
196,Valery Fernández,es ESP,"MF,FW",Mallorca,24,1999,3.4,2,3,3,100,0.87,0.87,0.67,0.67,10.3,0,0,0,0.8,0.8,0.28,1.2,1.2,Matches
197,André Ferreira,pt POR,GK,Valladolid,28,1996,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
198,Mateo Flores,es ESP,MF,Betis,20,2004,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
199,Pablo Fornals,es ESP,"MF,FW",Betis,28,1996,20.3,2,23,4,17.4,1.13,0.2,0.09,0.5,21.7,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches
200,Héctor Fort,es ESP,DF,Barcelona,17,2006,6.5,0,6,0,0,0.92,0,0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
201,Dimitri Foulquier,fr FRA,DF,Valencia,31,1993,25.5,0,13,2,15.4,0.51,0.08,0,0,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
202,Juan Foyth,ar ARG,DF,Villarreal,26,1998,16.9,1,17,5,29.4,1.01,0.3,0.06,0.2,11.8,0,0,0,2.4,2.4,0.14,-1.4,-1.4,Matches
203,Fran,es ESP,GK,Real Madrid,19,2005,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
204,Alejandro Francés,es ESP,DF,Girona,21,2002,13,0,6,0,0,0.46,0,0,,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
205,Enric Franquesa,es ESP,"DF,FW",Leganés,27,1997,6.8,1,3,1,33.3,0.44,0.15,0.33,1,16.8,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches
206,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,27,1997,27.7,6,52,18,34.6,1.88,0.65,0.12,0.33,15.9,0,0,0,6.3,6.3,0.12,-0.3,-0.3,Matches
207,Darío Fuentes,es ESP,DF,Sevilla,21,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
208,Manuel Fuster,es ESP,"FW,MF",Las Palmas,26,1997,11.1,2,18,7,38.9,1.62,0.63,0.11,0.29,23.2,0,0,0,0.7,0.7,0.04,1.3,1.3,Matches
209,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,19.8,0,9,0,0,0.45,0,0,,24.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
210,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,16.4,0,11,1,9.1,0.67,0.06,0,0,24.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
211,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,18.1,3,22,4,18.2,1.21,0.22,0.14,0.75,19.7,0,0,0,2.8,2.8,0.13,0.2,0.2,Matches
212,Facundo Garcés,ar ARG,DF,Alavés,24,1999,7.5,0,5,1,20,0.66,0.13,0,0,15.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
213,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,31,1992,28.4,4,71,26,36.6,2.5,0.91,0.06,0.15,16.9,0,0,0,7.6,7.6,0.11,-3.6,-3.6,Matches
214,Eric García,es ESP,"DF,MF",Barcelona,23,2001,17.4,2,14,8,57.1,0.8,0.46,0.14,0.25,10.7,0,0,0,2.3,2.3,0.17,-0.3,-0.3,Matches
215,Fran Garcia,es ESP,DF,Real Madrid,24,1999,24.1,0,14,3,21.4,0.58,0.12,0,0,19.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
216,Gonzalo García,es ESP,"FW,DF",Real Madrid,20,2004,0.6,0,1,0,0,1.61,0,0,,4.8,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches
217,Joan García,es ESP,GK,Espanyol,23,2001,38,0,1,1,100,0.03,0.03,0,0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
218,Pablo Garcia,es ESP,FW,Betis,17,2006,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
219,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,26.8,5,27,10,37,1.01,0.37,0.19,0.5,16.1,3,0,0,3.2,3.2,0.12,1.8,1.8,Matches
220,Unai García,es ESP,DF,Osasuna,32,1992,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
221,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,10.5,0,3,0,0,0.29,0,0,,7.6,0,0,0,1.1,1.1,0.38,-1.1,-1.1,Matches
222,Gavi,es ESP,"MF,FW",Barcelona,19,2004,12.1,1,11,1,9.1,0.91,0.08,0.09,1,15.3,0,0,0,0.9,0.9,0.08,0.1,0.1,Matches
223,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
224,Bryan Gil,es ESP,"FW,MF",Girona,23,2001,19.1,3,32,15,46.9,1.67,0.78,0.09,0.2,19,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches
225,Dani Gómez,es ESP,FW,Valencia,26,1998,5.9,2,14,6,42.9,2.37,1.02,0.14,0.33,12.1,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches
226,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,8.8,0,6,1,16.7,0.68,0.11,0,0,19.2,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
227,Sergi Gómez,es ESP,DF,Espanyol,32,1992,7.4,0,2,1,50,0.27,0.14,0,0,8.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
228,Sergio Gómez,es ESP,"MF,DF",Real Sociedad,23,2000,30.4,2,18,10,55.6,0.59,0.33,0.11,0.2,24,5,0,0,1.9,1.9,0.11,0.1,0.1,Matches
229,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,14.3,1,19,4,21.1,1.33,0.28,0.05,0.25,17.5,1,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches
230,Fabio González,es ESP,MF,Las Palmas,27,1997,0.6,0,2,0,0,3.4,0,0,,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
231,Peter González,do DOM,"MF,FW",Getafe,22,2002,5.3,0,12,4,33.3,2.26,0.75,0,0,19.9,2,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,15.3,0,4,2,50,0.26,0.13,0,0,15.8,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches
233,Urko González,es ESP,MF,Real Sociedad,23,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
234,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,16.5,0,2,1,50,0.12,0.06,0,0,22.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
235,José Gragera,es ESP,MF,Espanyol,23,2000,6.3,0,2,0,0,0.32,0,0,,20.3,0,0,0,0,0,0.02,0,0,Matches
236,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
237,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,27.4,8,48,17,35.4,1.75,0.62,0.15,0.41,18.5,5,1,2,7.4,5.9,0.13,0.6,1.1,Matches
238,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,6.9,0,3,2,66.7,0.43,0.29,0,0,22,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
239,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
240,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,4,0,11,3,27.3,2.73,0.75,0,0,10.4,0,0,0,2.4,2.4,0.22,-2.4,-2.4,Matches
241,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,27.7,1,22,5,22.7,0.79,0.18,0,0,28.8,6,1,1,1.6,0.8,0.04,-0.6,-0.8,Matches
242,Javier Guerra,es ESP,MF,Valencia,21,2003,28.7,3,47,10,21.3,1.64,0.35,0.06,0.3,22.8,1,0,0,2.2,2.2,0.05,0.8,0.8,Matches
243,Ander Guevara,es ESP,MF,Alavés,27,1997,21.6,0,12,3,25,0.55,0.14,0,0,20.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
244,Pape Gueye,sn SEN,MF,Villarreal,25,1999,24.7,4,55,17,30.9,2.23,0.69,0.07,0.24,18.5,0,0,0,3.4,3.4,0.06,0.6,0.6,Matches
245,Hugo Guillamón,es ESP,MF,Valencia,24,2000,4,0,2,1,50,0.49,0.25,0,0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
246,Carlos Guirao,es ESP,MF,Betis,21,2003,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
247,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,13.9,3,39,16,41,2.81,1.15,0.08,0.19,20,2,0,0,3.3,3.3,0.08,-0.3,-0.3,Matches
248,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,9.4,0,13,5,38.5,1.38,0.53,0,0,21,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
249,Jon Guridi,es ESP,"MF,FW",Alavés,29,1995,23.1,3,23,11,47.8,1,0.48,0.09,0.18,14.9,0,1,1,4.2,3.4,0.15,-1.2,-1.4,Matches
250,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,0.3,0.4,Matches
251,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,27.3,1,28,9,32.1,1.03,0.33,0.04,0.11,21.5,3,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
252,Munir El Haddadi,ma MAR,"FW,MF",Leganés,28,1995,9.6,4,21,9,42.9,2.19,0.94,0.19,0.44,20.1,3,0,0,1.6,1.6,0.07,2.4,2.4,Matches
253,Sébastien Haller,ci CIV,FW,Leganés,30,1994,4.5,0,4,1,25,0.89,0.22,0,0,14.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
254,Henrique,br BRA,DF,Valladolid,30,1994,3.9,0,1,0,0,0.26,0,0,,19.5,0,0,0,0,0,0.03,0,0,Matches
255,Javi Hernández,es ESP,DF,Leganés,26,1998,26.5,2,17,6,35.3,0.64,0.23,0.12,0.33,21.3,2,0,0,0.8,0.8,0.04,1.2,1.2,Matches
256,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,11.4,0,8,2,25,0.7,0.18,0,0,8,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
257,Jorge Herrando,es ESP,DF,Osasuna,23,2001,15.2,1,12,3,25,0.79,0.2,0.08,0.33,11.2,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
258,Ander Herrera,es ESP,MF,Athletic Club,34,1989,3,0,7,3,42.9,2.31,0.99,0,0,24.2,0,0,1,1.7,0.9,0.16,-1.7,-0.9,Matches
259,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
260,Yangel Herrera,ve VEN,MF,Girona,26,1998,25.1,4,39,14,35.9,1.56,0.56,0.1,0.29,16.9,0,0,0,3.6,3.6,0.09,0.4,0.4,Matches
261,Juan Herzog,es ESP,DF,Las Palmas,21,2003,14.6,0,12,2,16.7,0.82,0.14,0,0,10.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
262,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,35,0,2,0,0,0.06,0,0,,30.9,0,0,0,0,0,0.01,0,0,Matches
263,Roger Hinojo,es ESP,DF,Espanyol,19,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
264,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
265,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,14.4,1,20,5,25,1.39,0.35,0.05,0.2,20.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
266,Stanis Idumbo,be BEL,"FW,MF",Sevilla,19,2005,3.2,1,4,2,50,1.27,0.63,0.25,0.5,23.5,0,0,0,0.6,0.6,0.16,0.4,0.4,Matches
267,Iglesias,es ESP,DF,Getafe,26,1998,32.1,0,21,3,14.3,0.65,0.09,0,0,25.7,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
268,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,13.4,0,0,0,9.3,9.3,0.2,1.7,1.7,Matches
269,Kelechi Iheanacho,ng NGA,FW,Sevilla,27,1996,4.4,0,9,2,22.2,2.03,0.45,0,0,13.9,0,0,0,1.5,1.5,0.16,-1.5,-1.5,Matches
270,Isco,es ESP,MF,Betis,32,1992,17.2,9,38,9,23.7,2.21,0.52,0.11,0.44,22,4,5,6,8.6,3.9,0.1,0.4,0.1,Matches
271,Diego Iturralde,es ESP,FW,Sevilla,21,2003,0.4,0,1,0,0,2.43,0,0,,15.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
272,Ivan Jaime Pajuelo,es ESP,MF,Valencia,23,2000,3.3,0,8,3,37.5,2.42,0.91,0,0,18.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
273,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
274,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,6.6,2,16,5,31.3,2.41,0.75,0.13,0.4,23.6,4,0,0,0.8,0.8,0.05,1.2,1.2,Matches
275,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,22.1,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
276,John Joe,ie IRL,"MF,FW",Getafe,20,2003,0.5,0,2,0,0,3.75,0,0,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
277,Jofre,es ESP,"MF,FW",Espanyol,23,2001,24.1,3,40,10,25,1.66,0.42,0.08,0.3,19.5,0,0,0,2.5,2.5,0.06,0.5,0.5,Matches
278,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,12.7,2,5,3,60,0.39,0.24,0.4,0.67,17,0,0,0,0.7,0.7,0.13,1.3,1.3,Matches
279,Joan Jordán,es ESP,MF,Alavés,30,1994,15.7,5,13,4,30.8,0.83,0.25,0.15,0.5,26.7,5,3,4,4.8,1.6,0.13,0.2,0.4,Matches
280,Juanmi,es ESP,"FW,MF",Getafe,31,1993,7.7,0,13,6,46.2,1.68,0.78,0,0,12.8,0,0,0,2.9,2.9,0.22,-2.9,-2.9,Matches
281,Juanmi,es ESP,"FW,MF",Betis,31,1993,2.7,0,6,1,16.7,2.21,0.37,0,0,14.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
282,Juanpe,es ESP,DF,Girona,33,1991,8.1,0,2,0,0,0.25,0,0,,21.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
283,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
284,Vinicius Júnior,br BRA,FW,Real Madrid,24,2000,25,11,78,24,30.8,3.12,0.96,0.12,0.38,17.5,0,2,3,10.4,8.2,0.11,0.6,0.8,Matches
285,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,19.2,0,8,2,25,0.42,0.1,0,0,15,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
286,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,12.4,0,4,1,25,0.32,0.08,0,0,11.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
287,Abdoulaye Keita,es ESP,"FW,MF",Getafe,21,2002,1.1,0,2,0,0,1.89,0,0,,25.8,0,0,0,0,0,0.02,0,0,Matches
288,Kenedy,br BRA,"MF,FW",Valladolid,28,1996,0.1,0,1,0,0,10,0,0,,7.2,0,0,0,0,0,0.03,0,0,Matches
289,Kiké,es ESP,FW,Alavés,34,1989,28.2,13,60,24,40,2.12,0.85,0.17,0.42,15.4,0,3,3,9.6,7.2,0.12,3.4,2.8,Matches
290,Koke,es ESP,MF,Atlético Madrid,32,1992,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,22.6,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,25,1998,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2,Matches
292,Alex Král,cz CZE,MF,Espanyol,26,1998,30.2,0,21,2,9.5,0.7,0.07,0,0,16,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
293,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,14.8,0,0,0,1.7,1.7,0.09,0.3,0.3,Matches
294,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,26.4,5,43,14,32.6,1.63,0.53,0.12,0.36,16.1,0,0,0,3.6,3.6,0.08,1.4,1.4,Matches
295,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,33,3,16,5,31.3,0.48,0.15,0.19,0.6,11.4,0,0,0,1.8,1.8,0.11,1.2,1.2,Matches
296,Luca de la Torre,us USA,MF,Celta Vigo,26,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
297,Yoel Lago,es ESP,DF,Celta Vigo,20,2004,6.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
298,Cyle Larin,ca CAN,FW,Mallorca,29,1995,19.6,7,38,14,36.8,1.94,0.71,0.16,0.43,11.7,0,1,1,6.9,6.1,0.16,0.1,-0.1,Matches
299,Juanmi Latasa,es ESP,FW,Valladolid,23,2001,15.5,3,40,13,32.5,2.58,0.84,0.08,0.23,11.8,0,0,0,4.2,4.2,0.11,-1.2,-1.2,Matches
300,Toni Lato,es ESP,DF,Mallorca,26,1997,6.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
301,Robin Le Normand,es ESP,DF,Atlético Madrid,27,1996,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,8.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
302,Florian Lejeune,fr FRA,DF,Rayo Vallecano,33,1991,36.9,2,58,17,29.3,1.57,0.46,0.03,0.12,23.9,20,0,0,3.6,3.6,0.06,-1.6,-1.6,Matches
303,Iñigo Lekue,es ESP,DF,Athletic Club,31,1993,8.6,0,2,0,0,0.23,0,0,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
304,Thomas Lemar,fr FRA,MF,Atlético Madrid,28,1995,0.9,0,2,1,50,2.12,1.06,0,0,23.4,1,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
305,Clément Lenglet,fr FRA,DF,Atlético Madrid,29,1995,21.9,2,10,4,40,0.46,0.18,0.2,0.5,14.9,1,0,0,2.4,2.4,0.24,-0.4,-0.4,Matches
306,Robert Lewandowski,pl POL,FW,Barcelona,35,1988,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24,0.22,-0.1,0,Matches
307,Samuel Lino,br BRA,"MF,DF",Atlético Madrid,24,1999,17.2,3,45,18,40,2.61,1.04,0.07,0.17,16.3,0,0,0,6,6,0.13,-3,-3,Matches
308,Javier Llabrés,es ESP,FW,Mallorca,21,2002,0.6,0,1,0,0,1.58,0,0,,19.7,0,0,0,0,0,0.05,0,0,Matches
309,Diego Llorente,es ESP,DF,Betis,30,1993,28,2,11,4,36.4,0.39,0.14,0.18,0.5,11.3,0,0,0,1.5,1.5,0.14,0.5,0.5,Matches
310,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,29,1995,27.9,2,16,5,31.3,0.57,0.18,0.13,0.4,19.2,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches
311,Giovani Lo Celso,ar ARG,"MF,FW",Betis,28,1996,16.2,8,31,16,51.6,1.91,0.99,0.19,0.38,22,4,2,3,4.8,2.4,0.08,3.2,3.6,Matches
312,Enzo Loiodice,fr FRA,MF,Las Palmas,23,2000,7.6,0,7,4,57.1,0.92,0.53,0,0,25.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
313,David López,es ESP,DF,Mallorca,21,2003,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
314,David López,es ESP,DF,Girona,34,1989,27,1,12,3,25,0.44,0.11,0.08,0.33,15.9,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
315,Diego López,es ESP,"MF,FW",Valencia,22,2002,30.4,8,44,14,31.8,1.45,0.46,0.18,0.57,15.1,0,0,0,6.6,6.6,0.15,1.4,1.4,Matches
