Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
481,Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,27,1997,6,113,19,3.3,1.3,0.77,85,0,3.85,6,8.46,1.5,1.54,2.31,-0.77,-0.8,-0.47,1.23,1.38,-0.15,-0.16,-0.04,Matches
482,Joni Montiel,es ESP,MF,Rayo Vallecano,25,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
483,Israel Mora,,,Las Palmas,,,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
484,Gerard Moreno,es ESP,FW,Villarreal,32,1992,17,721,42,21.1,8,0.75,67,0.13,1.38,29,0.5,1.76,2.13,1.25,0.88,0.87,0.44,2.41,0.97,1.44,1.44,1.14,Matches
485,Xavier Moreno,es ESP,FW,Valladolid,19,2004,1,45,45,1.3,0.5,2,45,0,0,,2,0,0,2,-2,-2,-0.32,1.4,2.4,-1,-0.94,-0.07,Matches
486,Mateu Morey,es ESP,DF,Mallorca,24,2000,16,741,46,21.7,8.2,0.98,80,0.37,0.98,12,2.07,1.18,0.73,1.71,-0.98,-0.97,-0.94,0.63,1.91,-1.28,-1.28,-1.36,Matches
487,Ilaix Moriba,gn GUI,MF,Celta Vigo,21,2003,33,"2,132",65,62.3,23.7,0.93,83,0.55,0.46,28,0.13,1.3,1.56,1.43,0.13,0.13,0.2,1.37,1.19,0.19,0.19,-0.26,Matches
488,Manu Morlanes,es ESP,MF,Mallorca,25,1999,23,"1,338",58,39.1,14.9,1.01,80,0.34,0.54,17,0.13,1.3,1.01,1.01,0,0,0.39,1.03,1.06,-0.03,-0.03,0.29,Matches
489,Raúl Moro,es ESP,"MF,FW",Valladolid,21,2002,33,"2,341",71,68.5,26,1,81,0.58,0.27,34,0,0.48,0.73,2.04,-1.31,-1.31,1.2,1.03,1.67,-0.64,-0.64,0.72,Matches
490,Morro,es ESP,GK,Rayo Vallecano,23,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
491,Cristhian Mosquera,es ESP,DF,Valencia,20,2004,37,"3,319",90,97,36.9,1,90,0.98,0,,0,1.24,1.17,1.27,-0.11,-0.11,5.24,1.12,1.28,-0.16,-0.16,2.33,Matches
492,Santiago Mouriño,uy URU,DF,Alavés,22,2002,25,"1,849",74,54.1,20.5,0.98,87,0.88,0.24,23,0.34,1.12,0.88,1.07,-0.2,-0.19,0.15,1.06,1.27,-0.21,-0.21,-0.22,Matches
493,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,24,"2,017",84,59,22.4,1.07,84,0.94,0,,0,1.46,1.07,0.94,0.13,0.13,0.58,1.19,1.12,0.07,0.06,0.39,Matches
494,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,21,"1,098",52,32.1,12.2,1.07,72,0.49,0.66,21,1.15,1.1,0.82,1.07,-0.25,-0.25,0.06,1.01,1.2,-0.2,-0.19,-0.23,Matches
495,Álex Muñoz,es ESP,DF,Las Palmas,30,1994,21,"1,415",67,41.4,15.7,1.15,76,0.57,0.19,18,1.02,0.9,0.96,1.85,-0.89,-0.89,-0.58,0.81,1.88,-1.07,-1.07,-0.46,Matches
496,Egoitz Muñoz,es ESP,DF,Alavés,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
497,Iker Muñoz,es ESP,MF,Osasuna,21,2002,23,610,27,17.8,6.8,0.59,59,0.15,2.79,20,0.74,1.43,1.47,1.76,-0.29,-0.3,-0.23,1.38,1.81,-0.44,-0.44,-0.22,Matches
498,Javier Muñoz,es ESP,"MF,DF",Las Palmas,29,1995,35,"2,588",74,75.7,28.8,0.97,86,0.69,0.24,27,0.03,0.91,1.11,1.7,-0.59,-0.59,-0.16,0.96,1.76,-0.8,-0.8,0,Matches
499,Víctor Muñoz,es ESP,"FW,DF",Real Madrid,21,2003,2,36,18,1.1,0.4,0,,0,5,18,5,1.5,5,0,5,5,3.99,4.5,1.5,3,3.07,2.24,Matches
500,Vedat Muriqi,xk KVX,FW,Mallorca,30,1994,29,"2,058",71,60.2,22.9,1.05,80,0.44,0.22,28,0,1.1,0.87,1.31,-0.44,-0.44,-0.5,0.97,1.21,-0.24,-0.24,-0.08,Matches
501,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2,180,90,5.3,2,1,90,1,0,,17,3,2.5,0,2.5,2.5,1.58,2.2,0.15,2.05,2.04,1.28,Matches
502,Matija Nastasić,rs SRB,DF,Leganés,31,1993,26,"2,110",81,61.7,23.4,1.03,85,0.85,0.09,39,0.17,0.96,1.07,1.75,-0.68,-0.68,-0.61,0.97,1.74,-0.76,-0.76,-0.38,Matches
503,Natan,br BRA,DF,Betis,23,2001,31,"2,175",70,63.6,24.2,0.95,90,0.95,0.33,13,0.21,1.55,1.49,1.49,0,0,-0.51,1.31,1.33,-0.02,-0.02,-0.34,Matches
504,Pau Navarro,es ESP,DF,Villarreal,19,2005,17,916,54,26.8,10.2,0.78,74,0.29,0.88,36,2.06,2.24,2.75,1.57,1.18,1.18,0.89,1.83,1.26,0.57,0.57,0.05,Matches
