Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,38,27,21,12,5,15,28,53.6,13,24,8,16,18,56,26,1,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,1,1,1,0,0,1,1,100,0,2,2,0,3,4,8,0,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,48,29,10,33,5,22,48,45.8,26,35,6,29,15,63,46,0,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,102,70,61,30,11,66,100,66,34,40,8,32,30,132,98,0,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,12,9,6,5,1,4,5,80,1,6,4,2,9,21,25,0,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,53,38,31,14,8,39,56,69.6,17,26,4,22,8,61,92,0,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,7,5,3,3,1,4,7,57.1,3,2,0,2,5,12,1,0,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,13,9,5,7,1,6,11,54.5,5,7,0,7,6,19,9,0,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,22,16,18,4,0,10,13,76.9,3,11,6,5,16,38,88,2,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,13,8,4,5,4,8,20,40,12,18,1,17,8,21,5,0,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,22,12,6,8,8,8,23,34.8,15,14,0,14,7,29,7,1,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,8,3,2,2,4,4,10,40,6,4,0,4,2,10,8,0,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,28,21,20,8,0,21,43,48.8,22,24,8,16,10,38,30,0,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,25,14,12,9,4,17,23,73.9,6,10,2,8,5,30,32,0,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,47,27,37,10,0,23,31,74.2,8,22,13,9,29,76,162,2,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,28,15,6,14,8,10,39,25.6,29,29,2,27,22,50,22,2,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,10,7,7,3,0,3,5,60,2,15,8,7,12,22,60,0,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,12,4,6,6,0,3,4,75,1,12,6,6,6,18,29,0,Matches
