Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.09,0.09,0.19,0.28,1.25,4.06,4.06,0,0,0,0,0,0.09,0.2,0.28,0.09,0.28,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,15,3,315,3.5,0,0.29,0.29,0,0,0,0.86,0,0.06,0.06,0.34,0.4,6.29,1.14,11.1,0,0.29,0.29,0,0.29,0.05,0.34,0.39,0.05,0.39,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,30,26,"2,191",24.3,0.04,0.08,0.12,0.04,0,0,0.25,0,0.05,0.05,0.04,0.09,0.86,5.19,0.66,0.04,0.08,0.12,0.04,0.12,0.05,0.04,0.09,0.05,0.09,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,30,14,"1,263",14,0.07,0.21,0.29,0.07,0,0,0.43,0,0.11,0.11,0.14,0.26,3.07,3.43,10.9,0.07,0.21,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,31,28,"2,330",25.9,0.04,0.15,0.19,0.04,0,0,0.15,0.04,0.05,0.05,0.09,0.14,1.12,5.48,2.66,0.04,0.15,0.19,0.04,0.19,0.05,0.09,0.14,0.05,0.14,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,35,25,"2,323",25.8,0.43,0.16,0.58,0.39,0.04,0.04,0.16,0,0.48,0.45,0.11,0.57,1.71,1.05,4.81,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.6,0.45,0.57,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,25,23,"2,099",23.3,0.09,0.04,0.13,0.09,0,0,0.09,0,0.05,0.05,0.01,0.06,0.3,2.92,0.04,0.09,0.04,0.13,0.09,0.13,0.05,0.01,0.06,0.05,0.06,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,"2,880",32,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,5,2,183,2,0,0,0,0,0,0,0.5,0,0.05,0.05,0,0.05,0.5,3.5,1.5,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,22,11,995,11.1,0.18,0.09,0.27,0.18,0,0,0.09,0.09,0.18,0.18,0.18,0.36,4.59,2.07,9.91,0.18,0.09,0.27,0.18,0.27,0.18,0.18,0.36,0.18,0.36,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,26,16,"1,421",15.8,0.13,0.13,0.25,0.13,0,0,0.32,0,0.09,0.09,0.2,0.3,1.08,2.85,5.38,0.13,0.13,0.25,0.13,0.25,0.1,0.21,0.3,0.09,0.3,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,5,0,69,0.8,0,0,0,0,0,0,2.5,0,0,0,0,0,1.25,1.25,1.25,0,0,0,0,0,0,0,0,0,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,9,6,580,6.4,0,0.31,0.31,0,0,0,0.16,0,0.03,0.03,0.31,0.34,0.47,3.75,3.44,0,0.31,0.31,0,0.31,0.03,0.32,0.35,0.03,0.35,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,31,29,"2,488",27.6,0.33,0.29,0.62,0.29,0.04,0.07,0.18,0.04,0.41,0.36,0.14,0.5,2.68,7.21,5.18,0.33,0.29,0.61,0.29,0.58,0.41,0.14,0.55,0.36,0.5,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,34,29,"2,421",26.9,0.07,0.04,0.11,0.07,0,0,0.11,0,0.04,0.04,0.07,0.1,1.04,5.65,1.08,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.1,0.04,0.1,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,18,6,487,5.4,0.19,0.19,0.37,0.19,0,0,0.56,0,0.06,0.06,0.11,0.17,0.74,4.81,0.93,0.18,0.18,0.37,0.18,0.37,0.05,0.11,0.16,0.05,0.16,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,30,22,"2,044",22.7,0,0.09,0.09,0,0,0,0.22,0,0.03,0.03,0.1,0.12,1.89,7.09,2.91,0,0.09,0.09,0,0.09,0.02,0.1,0.12,0.02,0.12,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,36,28,"2,339",26,0.23,0.27,0.5,0.23,0,0.04,0.19,0,0.26,0.23,0.19,0.42,2.5,3,8.31,0.23,0.27,0.5,0.23,0.5,0.26,0.19,0.45,0.23,0.42,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,3,3,242,2.7,0,0,0,0,0,0,0.74,0,0.04,0.04,0,0.04,0,2.96,0.74,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,10,1,212,2.4,0,0.42,0.42,0,0,0,0,0,0.13,0.13,0.17,0.29,1.67,3.33,9.58,0,0.42,0.42,0,0.42,0.12,0.17,0.29,0.12,0.29,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,14,9,699,7.8,0,0.13,0.13,0,0,0,0,0,0.01,0.01,0.09,0.1,0.26,1.79,4.62,0,0.13,0.13,0,0.13,0.02,0.09,0.11,0.02,0.11,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,19,11,"1,063",11.8,0,0,0,0,0,0,0.68,0.08,0.03,0.03,0,0.03,0.08,2.12,0.08,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,35,32,"2,727",30.3,0,0.03,0.03,0,0,0,0.36,0.03,0.03,0.03,0.05,0.08,0.43,4.82,0.63,0,0.03,0.03,0,0.03,0.03,0.05,0.08,0.03,0.08,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,34,31,"2,780",30.9,0,0.06,0.06,0,0,0,0.06,0,0.02,0.02,0.05,0.07,2.3,8.8,1.97,0,0.06,0.06,0,0.06,0.02,0.05,0.07,0.02,0.07,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,18,13,"1,101",12.2,0,0,0,0,0,0,0.25,0,0.02,0.02,0.04,0.06,2.05,3.77,2.95,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,34,33,"2,987",33.2,0.06,0,0.06,0.06,0,0,0.15,0,0.05,0.05,0.03,0.07,0.48,3.34,0.21,0.06,0,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,3,270,3,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0.33,2.33,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,30,15,"1,617",18,0.06,0.11,0.17,0.06,0,0,0.22,0,0.1,0.1,0.02,0.12,0.33,2.39,2.94,0.06,0.11,0.17,0.06,0.17,0.1,0.02,0.12,0.1,0.12,Matches
