Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,47,1.52,43,2,0,0,0,2,7,0.23,6,0,0,0,0,1,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,16,1.31,12,1,1,1,1,0,0,0,0,0,0,0,0,0,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,13,0.39,12,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,34,1.89,28,0,1,3,2,0,2,0.11,2,0,0,0,0,0,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,13,2.8,9,1,1,1,1,0,2,0.43,2,0,0,0,0,0,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,46,1.4,25,0,3,9,9,0,14,0.43,3,0,1,2,8,0,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,1,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,12,6.63,8,0,1,0,3,0,2,1.1,1,0,0,0,1,0,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,6,2.87,4,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,21,0.66,17,0,0,2,1,1,7,0.22,4,0,0,2,1,0,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,6,0.76,5,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,31,2.54,25,1,2,0,3,0,2,0.16,2,0,0,0,0,0,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,38,3.02,27,0,7,2,1,1,5,0.4,2,0,2,0,0,1,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,39,2.95,34,5,0,0,0,0,4,0.3,4,0,0,0,0,0,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,10,3.47,5,4,0,0,0,1,0,0,0,0,0,0,0,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,8,0.79,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,19,4.6,13,1,0,4,1,0,1,0.24,1,0,0,0,0,0,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,1,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,20,2.97,16,1,0,2,1,0,3,0.45,2,0,0,1,0,0,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,4,2.73,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,79,2.41,71,3,1,4,0,0,13,0.4,13,0,0,0,0,0,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,35,1.47,29,0,5,0,0,1,1,0.04,1,0,0,0,0,0,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,54,1.65,38,6,3,2,3,2,1,0.03,1,0,0,0,0,0,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,36,1.96,32,1,3,0,0,0,4,0.22,4,0,0,0,0,0,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,12,1.77,10,2,0,0,0,0,2,0.3,1,1,0,0,0,0,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,14,2.6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,45,2.51,40,0,0,1,2,2,6,0.34,6,0,0,0,0,0,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,29,0.85,23,3,0,1,2,0,6,0.18,4,0,0,1,1,0,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,57,4.22,50,5,1,0,1,0,5,0.37,4,1,0,0,0,0,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,5,1.65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,2,1.38,2,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,61,2.12,50,4,1,3,2,1,2,0.07,2,0,0,0,0,0,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,20,2.81,10,0,2,4,4,0,5,0.7,1,0,1,1,2,0,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,5,1.49,3,0,1,1,0,0,1,0.3,1,0,0,0,0,0,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,7,4.29,0,2,3,1,1,0,1,0.61,0,1,0,0,0,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,1,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,47,1.98,35,3,2,2,2,3,2,0.08,1,0,0,1,0,0,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,47,1.74,38,1,1,2,5,0,5,0.18,3,0,0,0,2,0,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,2,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,12,0.61,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,78,2.74,69,2,1,2,0,4,11,0.39,9,0,0,1,0,1,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,3,0.14,1,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,14,1.48,13,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,10,0.59,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,1,6.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,35,3.92,21,1,4,4,3,2,5,0.56,3,0,2,0,0,0,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,16,1.87,12,1,2,0,1,0,0,0,0,0,0,0,0,0,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,37,3.31,28,0,5,2,1,1,4,0.36,3,0,0,1,0,0,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,22,0.76,20,0,0,1,1,0,2,0.07,1,0,0,0,1,0,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,56,1.9,41,1,3,6,4,1,6,0.2,4,1,0,1,0,0,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,4,0.13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,14,0.84,10,3,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
