Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
464,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,2.3,84,90,93.3,1402,513,37,40,92.5,42,43,97.7,4,4,100,0,0.2,0,-0.2,1,3,0,0,1,Matches
465,Raphinha,br BRA,"FW,MF",Barcelona,27,1996,31.5,1064,1497,71.1,17773,4933,557,661,84.3,358,474,75.5,113,249,45.4,9,12.7,10.1,-3.7,91,87,67,18,135,Matches
466,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,26,1998,34.1,1435,1759,81.6,21787,7420,816,910,89.7,530,629,84.3,64,122,52.5,3,5.7,3.9,-2.7,36,105,23,11,145,Matches
467,Raúl,es ESP,"FW,MF",Osasuna,23,2000,8.3,116,168,69,1510,219,74,93,79.6,33,44,75,3,11,27.3,0,0.7,0.4,-0.7,3,11,1,0,16,Matches
468,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,25,1998,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,Matches
469,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,955,1291,74,26773,18734,137,137,100,513,523,98.1,305,625,48.8,0,0,0,0,1,14,0,0,1,Matches
470,Daniel Requena,es ESP,MF,Villarreal,20,2004,0.1,4,5,80,48,9,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
471,Diego Rico,es ESP,DF,Getafe,31,1993,31.3,1058,1564,67.6,19166,10727,479,554,86.5,465,659,70.6,103,269,38.3,3,2.7,3.4,0.3,36,114,46,29,136,Matches
472,Luis Rioja,es ESP,FW,Alavés,30,1993,0.3,5,11,45.5,70,27,3,4,75,2,5,40,0,1,0,0,0.1,0.1,-0.1,1,0,0,0,1,Matches
473,Luis Rioja,es ESP,"MF,FW",Valencia,30,1993,31.5,821,1212,67.7,13662,3934,427,506,84.4,307,419,73.3,68,181,37.6,3,4.5,5.5,-1.5,35,42,60,25,103,Matches
474,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,5.7,210,269,78.1,2838,854,131,150,87.3,60,69,87,8,27,29.6,1,0.8,0.8,0.2,15,17,12,3,24,Matches
475,Alberto Risco,es ESP,"MF,FW",Getafe,18,2005,0.8,25,34,73.5,340,98,15,18,83.3,6,8,75,2,4,50,0,0.1,0.2,-0.1,4,1,4,3,3,Matches
476,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,28,1995,4.8,191,246,77.6,3446,915,83,91,91.2,93,107,86.9,14,36,38.9,1,0.2,0.1,0.8,4,10,2,1,10,Matches
477,Gorka Rivera Alonso,es ESP,"DF,MF",Getafe,19,2004,0.2,5,11,45.5,94,27,1,2,50,4,7,57.1,0,2,0,0,0,0,0,0,1,0,0,1,Matches
478,Marc Roca,es ESP,MF,Betis,27,1996,10.1,465,538,86.4,7964,2303,220,236,93.2,198,216,91.7,33,54,61.1,2,1,0.5,1,12,51,6,2,59,Matches
479,Rodri,es ESP,FW,Betis,24,2000,1.3,56,66,84.8,941,282,35,36,97.2,14,17,82.4,7,11,63.6,0,0.1,0.3,-0.1,2,4,5,0,8,Matches
480,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,1.4,19,50,38,1160,1084,1,1,100,0,0,,18,48,37.5,0,0,0,0,0,1,0,0,0,Matches
481,Álvaro Rodríguez,uy URU,FW,Getafe,20,2004,9.5,110,239,46,1496,344,71,122,58.2,30,70,42.9,4,12,33.3,0,0.3,0.4,-0.3,5,15,2,1,13,Matches
482,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,26,1998,14.8,400,555,72.1,6923,2124,193,227,85,139,189,73.5,51,96,53.1,4,2.2,1.7,1.8,19,31,21,7,60,Matches
483,Arturo Rodríguez,es ESP,FW,Las Palmas,17,2006,0.2,5,7,71.4,56,0,4,4,100,1,2,50,0,0,,0,0,0,0,0,0,0,0,0,Matches
484,Damián Rodríguez,es ESP,MF,Celta Vigo,21,2003,10.3,726,814,89.2,12535,3486,318,342,93,341,360,94.7,55,86,64,0,0.8,1.4,-0.8,17,85,4,0,71,Matches
485,Dani Rodríguez,es ESP,"MF,FW",Mallorca,36,1988,24,498,715,69.7,8276,2537,257,313,82.1,171,226,75.7,53,129,41.1,7,3.1,3.4,3.9,33,42,17,6,78,Matches
486,Daniel Rodriguez,es ESP,FW,Barcelona,18,2005,0.4,15,20,75,202,28,9,11,81.8,6,8,75,0,1,0,0,0,0,0,0,0,2,0,2,Matches
487,James Rodríguez,co COL,"MF,FW",Rayo Vallecano,33,1991,1.6,78,98,79.6,1368,440,40,44,90.9,21,25,84,13,24,54.2,0,0.2,0.3,-0.2,2,12,1,0,13,Matches
488,Javi Rodríguez,es ESP,DF,Celta Vigo,21,2003,27.9,1488,1716,86.7,26876,8180,575,623,92.3,769,838,91.8,126,207,60.9,2,1,1,1,13,110,10,1,114,Matches
489,Jesus Rodríguez,es ESP,FW,Betis,18,2005,12.3,241,331,72.8,3111,935,158,194,81.4,57,79,72.2,9,13,69.2,0,0.2,0.7,-0.2,8,15,19,2,35,Matches
490,Kirian Rodríguez,es ESP,MF,Las Palmas,28,1996,19.5,1026,1204,85.2,16191,4876,546,597,91.5,379,429,88.3,75,120,62.5,3,1.5,1.4,1.5,16,106,14,1,128,Matches
491,Ricardo Rodríguez,ch SUI,DF,Betis,31,1992,14.2,610,744,82,9246,3362,347,372,93.3,220,284,77.5,28,58,48.3,1,0.4,0.6,0.6,7,50,8,5,63,Matches
492,Rodrygo,br BRA,"FW,MF",Real Madrid,23,2001,21.4,939,1093,85.9,12276,3000,619,652,94.9,234,272,86,35,85,41.2,5,3,4.2,2,49,66,26,2,108,Matches
